discount	name	weight_volume_price	price	old_price	image_link
22.42	Грейпфрут красный	1 кг / 89.99 руб	44.99	57.995	https://photos.5-delivery.ru/big/product/1157121-main
0	Майонез Слобода Провансаль 67%, 400мл	1 шт / 89.99 руб	89.99	Отсутствует	https://photos.5-delivery.ru/big/product/1189731-main
0	Сыр Брест-Литовск Монастырский 45% 200г	1 шт / 149.99 руб	149.99	Отсутствует	https://photos.5-delivery.ru/big/product/1465610-main
0	Макароны Barilla Girandole спирали группа А высший сорт, 450г	1 шт / 94.99 руб	94.99	Отсутствует	https://photos.5-delivery.ru/big/product/1202755-main
0	Майонез Mr. Ricco на перепелином яйце 67%, 400мл	1 шт / 89.99 руб	89.99	Отсутствует	https://photos.5-delivery.ru/big/product/1170828-main
42.35	Колбаса варёная Стародворье Молочная вязаная, 500г	1 шт / 149.89 руб	149.89	259.99	https://photos.5-delivery.ru/big/product/1169297-main
15.1	Йогурт Даниссимо Фантазия с хрустящими шоколадными шариками 6.9% 105г	1 шт / 44.99 руб	44.99	52.99	https://photos.5-delivery.ru/big/product/1164977-main
0	Губки для мытья посуды Econta Maxi 5 шт	1 шт / 39.99 руб	39.99	Отсутствует	https://photos.5-delivery.ru/big/product/1175430-main
0	Пирожное Медвежонок Барни бисквитное с шоколадной начинкой, 150г	1 шт / 124.99 руб	124.99	Отсутствует	https://photos.5-delivery.ru/big/product/1161141-main
0	Сыр творожный Hochland Сливочный 60% 140г	1 шт / 94.99 руб	94.99	Отсутствует	https://photos.5-delivery.ru/big/product/1166356-main
20	Хлеб Энергия здоровья Стройный рецепт бездрожжевой нарезка 350г	1 шт / 55.99 руб	55.99	69.99	https://photos.5-delivery.ru/big/product/1173573-main
0	Энергетический напиток Adrenaline Rush 449мл	1 шт / 99.99 руб	99.99	Отсутствует	https://photos.5-delivery.ru/big/product/1194823-main
29.69	Гранат	1 кг / 89.99 руб	71.99	102.392	https://photos.5-delivery.ru/big/product/1158997-main
0	Молоко Пискаревский пастеризованное 2.5%, 900г	1 шт / 58.99 руб	58.99	Отсутствует	https://photos.5-delivery.ru/big/product/1161656-main
0	Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 270г	1 шт / 109.99 руб	109.99	Отсутствует	https://photos.5-delivery.ru/big/product/1165909-main
0	Филе бедра цыплёнка Петелинка без кожи охлаждённое	1 кг / 339.99 руб	373.99	Отсутствует	https://photos.5-delivery.ru/big/product/1200352-main
0	Вермишель Ладные, 400г	1 шт / 39.99 руб	39.99	Отсутствует	https://photos.5-delivery.ru/big/product/1163980-main
0	Колбаса варёная Вязанка Классическая, 500г	1 шт / 259.99 руб	259.99	Отсутствует	https://photos.5-delivery.ru/big/product/1184103-main
0	Соль поваренная пищевая мелкая	1 шт / 24.99 руб	24.99	Отсутствует	https://photos.5-delivery.ru/big/product/1164256-main
